county_name,year,Acres
JACKSON,2002,2899.0
JACKSON,1997,2855.0
JOSEPHINE,2012,80.0
JOSEPHINE,2007,191.0
JOSEPHINE,2002,35.0
JOSEPHINE,1997,196.0
CROOK,2012,825.0
CROOK,2007,2622.0
CROOK,2002,461.0
CROOK,1997,2321.0
DESCHUTES,2012,1039.0
DESCHUTES,2007,806.0
DESCHUTES,2002,571.0
DESCHUTES,1997,1015.0
GRANT,2012,3265.0
GRANT,2007,3520.0
GRANT,2002,2843.0
GRANT,1997,1434.0
HARNEY,2012,4106.0
HARNEY,2007,618.0
HARNEY,2002,6378.0
HARNEY,1997,8620.0
JEFFERSON,2012,6276.0
JEFFERSON,2007,4607.0
JEFFERSON,2002,5702.0
JEFFERSON,1997,9059.0
KLAMATH,2012,10302.0
KLAMATH,2007,19518.0
KLAMATH,2002,21152.0
KLAMATH,1997,16187.0
LAKE,2012,1977.0
LAKE,2007,3902.0
LAKE,2002,6363.0
LAKE,1997,6926.0
MALHEUR,2012,18067.0
MALHEUR,2007,14964.0
MALHEUR,2002,16039.0
MALHEUR,1997,27566.0
WHEELER,2007,605.0
WHEELER,2002,1058.0
WHEELER,1997,1102.0
BENTON,2002,1036.0
CLACKAMAS,2012,3230.0
CLACKAMAS,2007,4524.0
CLACKAMAS,2002,3500.0
CLATSOP,2012,109.0
CLATSOP,2007,235.0
CLATSOP,2002,124.0
COLUMBIA,2012,641.0
COLUMBIA,2007,959.0
COLUMBIA,2002,973.0
LANE,2012,4663.0
LANE,2007,4633.0
LANE,2002,2867.0
LINCOLN,2012,286.0
LINCOLN,2007,248.0
LINN,2012,2806.0
LINN,2007,2924.0
LINN,2002,2959.0
MARION,2012,2393.0
MARION,2002,2770.0
MULTNOMAH,2012,515.0
MULTNOMAH,2007,374.0
MULTNOMAH,2002,321.0
POLK,2012,1042.0
POLK,2002,1159.0
TILLAMOOK,2012,17.0
WASHINGTON,2012,1755.0
WASHINGTON,2007,1547.0
WASHINGTON,2002,2170.0
YAMHILL,2012,3220.0
YAMHILL,2002,2034.0
GILLIAM,2002,1017.0
HOOD RIVER,2012,1366.0
HOOD RIVER,2007,890.0
HOOD RIVER,2002,740.0
MORROW,2007,7107.0
SHERMAN,2012,1714.0
SHERMAN,2002,1524.0
WASCO,2007,1642.0
BAKER,2007,3680.0
BAKER,2002,1753.0
UMATILLA,2012,10824.0
UMATILLA,2007,9896.0
UMATILLA,2002,1763.0
UNION,2012,1338.0
UNION,2007,3498.0
UNION,2002,1661.0
WALLOWA,2007,1136.0
WALLOWA,2002,839.0
COOS,2012,1075.0
COOS,2002,868.0
CURRY,2012,204.0
DOUGLAS,2012,2875.0
DOUGLAS,2007,3477.0
DOUGLAS,2002,2649.0
JACKSON,2012,3685.0
JACKSON,2007,5371.0
JACKSON,2002,4074.0
JOSEPHINE,2012,712.0
JOSEPHINE,2007,772.0
CROOK,2012,1327.0
CROOK,2007,1353.0
DESCHUTES,2012,1695.0
DESCHUTES,2007,3078.0
DESCHUTES,2002,2241.0
GRANT,2012,932.0
GRANT,2002,1956.0
HARNEY,2012,2693.0
HARNEY,2007,3563.0
JEFFERSON,2012,789.0
JEFFERSON,2007,716.0
JEFFERSON,2002,590.0
KLAMATH,2012,3481.0
KLAMATH,2007,1776.0
KLAMATH,2002,4670.0
LAKE,2012,4213.0
LAKE,2007,12109.0
LAKE,2002,6184.0
MALHEUR,2012,3604.0
MALHEUR,2007,3921.0
WHEELER,2007,31.0
BENTON,2007,2008.0
BENTON,2002,478.0
CLACKAMAS,2012,1480.0
CLACKAMAS,2007,1496.0
CLACKAMAS,2002,1840.0
CLATSOP,2012,222.0
CLATSOP,2007,130.0
CLATSOP,2002,224.0
COLUMBIA,2007,542.0
LANE,2012,8718.0
LANE,2007,7710.0
LANE,2002,1065.0
LINCOLN,2007,212.0
LINN,2012,3470.0
LINN,2007,1873.0
LINN,2002,6081.0
MARION,2012,2748.0
MARION,2002,485.0
MULTNOMAH,2012,1459.0
MULTNOMAH,2007,151.0
MULTNOMAH,2002,283.0
POLK,2012,1016.0
POLK,2007,2419.0
POLK,2002,713.0
TILLAMOOK,2007,455.0
WASHINGTON,2012,1763.0
WASHINGTON,2007,358.0
YAMHILL,2012,4223.0
YAMHILL,2007,2952.0
YAMHILL,2002,1270.0
GILLIAM,2002,2411.0
HOOD RIVER,2012,20.0
HOOD RIVER,2007,464.0
BAKER,2012,2430.0
BAKER,2007,1887.0
UMATILLA,2012,11294.0
UMATILLA,2007,2379.0
UMATILLA,2002,11120.0
UNION,2012,1512.0
UNION,2007,2234.0
WALLOWA,2012,740.0
WALLOWA,2007,2022.0
COOS,2007,465.0
CURRY,2012,129.0
DOUGLAS,2012,1047.0
DOUGLAS,2007,1417.0
DOUGLAS,2002,792.0
JACKSON,2007,1546.0
JACKSON,2002,549.0
JOSEPHINE,2012,73.0
JOSEPHINE,2007,12.0
CROOK,2012,230.0
CROOK,2007,200.0
CROOK,2002,1465.0
DESCHUTES,2012,58.0
GRANT,2012,124.0
GRANT,2007,3056.0
HARNEY,2007,3471.0
JEFFERSON,2007,954.0
KLAMATH,2012,1704.0
KLAMATH,2007,2458.0
MALHEUR,2002,2141.0
WHEELER,2007,454.0
BENTON,2012,9.0
BENTON,2002,33.0
CLACKAMAS,2012,394.0
CLACKAMAS,2007,146.0
CLACKAMAS,2002,795.0
COLUMBIA,2007,18.0
LANE,2012,97.0
LANE,2007,684.0
LANE,2002,160.0
LINN,2012,426.0
LINN,2007,695.0
LINN,2002,45.0
MARION,2012,294.0
MARION,2007,282.0
MARION,2002,170.0
MULTNOMAH,2012,33.0
MULTNOMAH,2007,152.0
MULTNOMAH,2002,51.0
POLK,2012,380.0
POLK,2002,287.0
WASHINGTON,2012,205.0
WASHINGTON,2007,124.0
YAMHILL,2012,58.0
YAMHILL,2002,303.0
HOOD RIVER,2012,108.0
HOOD RIVER,2007,9.0
UMATILLA,2012,8951.0
UMATILLA,2007,9766.0
UMATILLA,2002,2490.0
UNION,2007,270.0
